"","dimension","birth","death"
"1",1,0.227528108678329,0.232983395660181
"2",1,0.167923036619751,0.175270087108962
"3",1,0.154627966732574,0.160829646711815
"4",1,0.185428333797309,0.191028520181701
"5",1,0.214475883371473,0.22002582187692
"6",1,0.162644188553181,0.16594096500438
"7",1,0.14989756235079,0.155329660650512
"8",1,0.197950541938428,0.20486761210876
"9",1,0.18628872438722,0.193744936381091
"10",1,0.263349979509553,0.27185808203831
"11",1,0.19557363416002,0.207741552999122
"12",1,0.213931557087709,0.218669114849807
"13",1,0.184278061581588,0.188349025580537
"14",1,0.183735692429335,0.188830104987967
"15",1,0.202287813685319,0.207633073480988
"16",1,0.196183609165435,0.201653868362094
"17",1,0.195419454497527,0.199807254477597
"18",1,0.193995645448311,0.198994435053253
"19",1,0.189038577255031,0.193952643387421
"20",1,0.154506979818811,0.159016020630097
"21",1,0.149470366785556,0.153338413916096
"22",1,0.167494597511997,0.173406475373167
"23",1,0.200932935716924,0.205899736110008
"24",1,0.209409577642728,0.214210527147167
"25",1,0.203132462458991,0.211766807776297
"26",1,0.178604333110985,0.18601659893406
"27",1,0.373934450363623,0.384591236256171
"28",1,0.197225369343849,0.201679262130512
"29",1,0.176578851928463,0.180195063798818
"30",1,0.223193293680586,0.227504119976071
"31",1,0.223056387053759,0.227835272171541
"32",1,0.159625522816167,0.163248804052775
"33",1,0.211235386606541,0.215627285206399
"34",1,0.174063093535052,0.179476453365493
"35",1,0.174527264931435,0.183869617652924
"36",1,0.150291287516346,0.157743598919214
"37",1,0.219387693420321,0.225617911955878
"38",1,0.162231539409079,0.169891691252073
"39",1,0.201512198475123,0.206265528307225
"40",1,0.206369709156977,0.214160937970736
"41",1,0.15471597712006,0.160477334484328
"42",1,0.175534176603589,0.181897685400485
"43",1,0.126044966863498,0.13092882372342
"44",1,0.143821953941595,0.148782698382103
"45",1,0.177609160566217,0.182841140488109
"46",1,0.182117760287001,0.185809132968717
"47",1,0.260486484930705,0.271408017025968
"48",1,0.282824783832308,0.301579459443747
"49",1,0.208087772094916,0.214227198800295
"50",1,0.207572266365881,0.213408137251272
"51",1,0.198168247631482,0.202385993359347
"52",1,0.187871208162839,0.19374342651037
"53",1,0.182079095797753,0.186540704414421
"54",1,0.181706998163575,0.185477779497044
"55",1,0.217263469612231,0.222682025433106
"56",1,0.154457869873594,0.158223686129033
"57",1,0.194673554012002,0.198585419168666
"58",1,0.177060831450893,0.182699646503104
"59",1,0.207755312841209,0.213937950125063
"60",1,0.198301874156214,0.205350197996722
"61",1,0.176839624639774,0.184046536896719
"62",1,0.246976333115672,0.252841285995024
"63",1,0.243863959896881,0.249344326606237
"64",1,0.194999851698016,0.199751625343026
"65",1,0.194942737610179,0.199542059754799
"66",1,0.203969036671917,0.208598910627555
"67",1,0.195169014223223,0.201436072256137
"68",1,0.231602823456338,0.247274039478111
"69",1,0.190092755165945,0.196766840208856
"70",1,0.165303170424257,0.172604778882864
