"","dimension","birth","death"
"1",1,0.135769483671393,0.140958989696546
"2",1,0.13401758218708,0.139488686192644
"3",1,0.133009909358486,0.138197120778484
"4",1,0.132785724298915,0.13805887497332
"5",1,0.132047157710905,0.137789138695647
"6",1,0.149692109826084,0.156035789131207
"7",1,0.158419474867855,0.165526418740982
"8",1,0.169088580192638,0.17518071024898
"9",1,0.171359310485768,0.178808551405481
"10",1,0.154627966732574,0.160829646711815
"11",1,0.15471597712006,0.160477334484328
"12",1,0.163850448269172,0.17056793763085
"13",1,0.167835973950308,0.1752079287602
"14",1,0.159355410019428,0.163033181094231
"15",1,0.157445157882963,0.161614426701427
"16",1,0.169125659405646,0.1757804310489
"17",1,0.169856260156711,0.176519382737134
"18",1,0.16516563587575,0.171932652155644
"19",1,0.167034131654532,0.175885117346929
"20",1,0.152532929891614,0.158802410110758
"21",1,0.154422919642976,0.160997837084452
