"","dimension","birth","death"
"25",1,0.177253274075527,0.181723192142785
"26",1,0.173699730361688,0.177520989735358
"27",1,0.184354190611501,0.189410156029485
"28",1,0.126044966863498,0.13092882372342
"29",1,0.119851360798911,0.123953917156131
"30",1,0.128309137881093,0.133405800003216
"31",1,0.117530170537502,0.120776509102421
"32",1,0.12659995582872,0.131199553432301
"33",1,0.158126527511281,0.161747081842319
"34",1,0.163168660339454,0.167615903638254
"35",1,0.203920689353835,0.207466335052425
"36",1,0.162644188553181,0.16594096500438
"37",1,0.161834686299003,0.165316310034755
"38",1,0.156209395622268,0.159784733745978
"39",1,0.154243759498882,0.157815585623128
"40",1,0.14989756235079,0.155329660650512
"41",1,0.143821953941595,0.148782698382103
"42",1,0.15535714174508,0.15988630655596
"43",1,0.16069718827169,0.166043814651312
"44",1,0.155856125924959,0.160475717337534
"45",1,0.154205701375514,0.158302407779485
"46",1,0.155560080999467,0.159426107319677
"47",1,0.15386940591073,0.158550844465091
"48",1,0.150561986382215,0.156696342834894
"49",1,0.142757916709107,0.147602617096497
"50",1,0.157800100974219,0.164478336755304
"51",1,0.160678218398898,0.167463340736784
"52",1,0.180455594792349,0.186124212062149
"53",1,0.177609160566217,0.182841140488109
"54",1,0.182588327191288,0.188174868623555
"55",1,0.177224868699984,0.18240282149988
"56",1,0.189165218719813,0.193771376069518
"57",1,0.182117760287001,0.185809132968717
"58",1,0.156960365997417,0.161469885303975
"59",1,0.161668281980148,0.168479003013866
"60",1,0.160177951214024,0.164842417961439
"61",1,0.153269864962808,0.157391361699486
"62",1,0.158656285366825,0.163022852860405
"63",1,0.16326503483887,0.168590902534782
"64",1,0.174348392615778,0.180682345962387
"65",1,0.206894957739422,0.212394209291929
"66",1,0.213931557087709,0.218669114849807
"67",1,0.198168247631482,0.202385993359347
"68",1,0.182944203038579,0.187355861218369
"69",1,0.206853097143154,0.211711766963489
"70",1,0.18325209583119,0.188134395186321
"71",1,0.182220120803675,0.186333937192903
"72",1,0.180547545932871,0.185447256741649
"73",1,0.172343121693062,0.176946866488836
"74",1,0.182079095797753,0.186540704414421
"75",1,0.182189547482049,0.186369311709848
"76",1,0.182508297531018,0.188028826119911
"77",1,0.159561068305944,0.164669533506435
"78",1,0.162553786387254,0.166656937719886
"79",1,0.181706998163575,0.185477779497044
"80",1,0.160971099740446,0.16648099548342
"81",1,0.162252187554963,0.167098078337107
"82",1,0.157013183031531,0.162376841624443
"83",1,0.16252614722256,0.168617884518259
"84",1,0.179135999259269,0.184202133419881
"85",1,0.148571339477799,0.152586879164893
"86",1,0.151002531800871,0.153931193100896
"87",1,0.189038577255031,0.193952643387421
"88",1,0.15057890700648,0.153654776728097
"89",1,0.154506979818811,0.159016020630097
"90",1,0.154457869873594,0.158223686129033
"91",1,0.214078131921163,0.218067995625172
"92",1,0.154073381310609,0.15749809780612
"93",1,0.15394938521533,0.15812793355266
"94",1,0.201998247967754,0.206779779349788
"95",1,0.198655590106728,0.203213925197982
"96",1,0.149470366785556,0.153338413916096
"97",1,0.148869350506316,0.152937585682884
"98",1,0.194673554012002,0.198585419168666
"99",1,0.207299537444715,0.212936102414754
"100",1,0.21442140195485,0.218786757953452
"101",1,0.186331094030767,0.189860744594014
"102",1,0.167494597511997,0.173406475373167
"103",1,0.177060831450893,0.182699646503104
"104",1,0.196038140060205,0.200196671483255
"105",1,0.191363163249288,0.194928803124561
"106",1,0.154153373095124,0.157531757418717
"107",1,0.200932935716924,0.205899736110008
"108",1,0.198186177391281,0.2027834297137
"109",1,0.1544319773787,0.161583090359528
"110",1,0.209409577642728,0.214210527147167
"111",1,0.178145238501902,0.183713808803138
"112",1,0.202245743109822,0.206542823741887
"113",1,0.198079081266947,0.201989652348396
"114",1,0.175667527545994,0.179119214196223
"115",1,0.17861439355828,0.184972184131353
"116",1,0.180928556441414,0.185843860237042
"117",1,0.18306030665394,0.188571600865703
"118",1,0.179366871980291,0.183888899966253
"119",1,0.181161115042266,0.185722638512543
"120",1,0.178979259080591,0.183170301410707
"121",1,0.171892236783836,0.178759887338157
"122",1,0.18671774274715,0.191274699372716
"123",1,0.181437575457164,0.187151767280747
"124",1,0.197225369343849,0.201679262130512
"125",1,0.159143276550929,0.162199464549721
"126",1,0.176578851928463,0.180195063798818
"127",1,0.175017257463143,0.178741468364406
"128",1,0.196669682899819,0.200322331370653
"129",1,0.23571296879475,0.240516389821053
"130",1,0.244790529055933,0.24943586522757
"131",1,0.149707598685798,0.156305210757107
"132",1,0.180605886939274,0.18528616860384
"133",1,0.159625522816167,0.163248804052775
"134",1,0.211235386606541,0.215627285206399
"135",1,0.177315644105653,0.182242444516018
"136",1,0.183172154278753,0.188192105046439
"137",1,0.172901657744795,0.179170123724861
"138",1,0.184121724993938,0.188571544489557
"139",1,0.174063093535052,0.179476453365493
"140",1,0.180263917720975,0.185555590558824
"141",1,0.186436332049304,0.191015838638594
"142",1,0.172826373620532,0.179138808624707
"143",1,0.223273899447491,0.227569071070629
"144",1,0.234872707476041,0.239898390404307
"145",1,0.177559914841316,0.181273912567403
"146",1,0.160555138654731,0.164684548320046
"147",1,0.167858765754155,0.171277020792069
"148",1,0.187893254191825,0.192012741570977
"149",1,0.158972970286717,0.163840678597427
"150",1,0.180817246194583,0.185678052538956
"151",1,0.153118931866558,0.157534455316163
"152",1,0.160156563835946,0.165112370924616
"153",1,0.164286170879756,0.168213744382089
"154",1,0.166353385474816,0.171266933501649
"155",1,0.1631007561933,0.168184658757141
"156",1,0.164043315486714,0.16859687959697
"157",1,0.162107468265481,0.16760406947167
"158",1,0.177614266336624,0.183132190540149
"159",1,0.182245090813562,0.187893079765992
"160",1,0.199602089967151,0.203919798543961
