"","dimension","birth","death"
"1",1,0.159355410019428,0.163033181094231
"2",1,0.157445157882963,0.161614426701427
"3",1,0.255796207350834,0.265001892028057
"4",1,0.128309137881093,0.133405800003216
"5",1,0.16069718827169,0.166043814651312
"6",1,0.257379782862836,0.272788581930501
"7",1,0.321337516224807,0.333866555738774
"8",1,0.161668281980148,0.168479003013866
"9",1,0.255190676542437,0.261259859640174
"10",1,0.16326503483887,0.168590902534782
"11",1,0.219488667923223,0.223935196444827
"12",1,0.216849458313065,0.221428736247156
"13",1,0.215002477750842,0.219444974042405
"14",1,0.214421432542086,0.219034345400616
"15",1,0.189860878848357,0.196987327436365
"16",1,0.282403740118401,0.299733498503186
"17",1,0.166673767124182,0.1732087907533
"18",1,0.196979643194855,0.20119248311541
"19",1,0.195439714737603,0.199378120688277
"20",1,0.201525061701725,0.206609154396662
"21",1,0.249468307935305,0.254155293840827
"22",1,0.228935575774797,0.233718247026421
"23",1,0.226213204469078,0.230897466581418
"24",1,0.225124270874932,0.22925641755283
"25",1,0.222591365869783,0.226446876902045
"26",1,0.221572054745341,0.225690377814145
"27",1,0.153118931866558,0.157534455316163
"28",1,0.215014883526003,0.222040328024989
"29",1,0.194250826161506,0.200029798688838
"30",1,0.192790018252444,0.200158517868936
"31",1,0.214296287315505,0.222135393617516
"32",1,0.161834686299003,0.165316310034755
"33",1,0.187436794475778,0.193289712814902
"34",1,0.206894957739422,0.212394209291929
"35",1,0.197271271735302,0.202793790366514
"36",1,0.196372237528817,0.203889321775215
"37",1,0.23771617283822,0.246693696324122
"38",1,0.199732127884896,0.20540867972192
"39",1,0.157447910392361,0.166038929703531
"40",1,0.208484570613193,0.214463574105434
"41",1,0.176281457858635,0.183233660953373
"42",1,0.195618211685733,0.20332438867966
"43",1,0.191213241326666,0.196456938624348
"44",1,0.189079497940059,0.207040263402803
"45",1,0.207119056996197,0.217167480894072
"46",1,0.191833827239048,0.198096786676588
