"","V1","V2","Subject","task"
"1",2.80044681752474e-06,4.24936027232254e-06,103111,"rest1"
"2",2.80044681752923e-06,4.24936027233009e-06,103111,"rest1"
"3",2.80044681737274e-06,4.24936027218342e-06,103111,"rest2"
"4",2.80044681758766e-06,4.24936027244808e-06,103111,"rest2"
"5",3.61075182004809e-06,5.76494479787614e-06,103111,"emotion"
"6",2.80044681763927e-06,4.24936027229961e-06,103111,"emotion"
"7",2.80044681757144e-06,4.24936027223515e-06,103111,"gambling"
"8",2.8004468172603e-06,4.24936027257503e-06,103111,"gambling"
"9",2.80044681764959e-06,4.24936027217696e-06,103111,"language"
"10",3.53640808032053e-06,5.66926383293029e-06,103111,"language"
"11",2.80044681755079e-06,4.24936027228526e-06,103111,"motor"
"12",2.80044681752609e-06,4.24936027231969e-06,103111,"motor"
"13",2.8004468175243e-06,4.24936027232292e-06,103111,"relational"
"14",2.80044681752458e-06,4.24936027232238e-06,103111,"relational"
"15",2.80044681752464e-06,4.24936027232225e-06,103111,"social"
"16",2.80044681752459e-06,4.24936027232232e-06,103111,"social"
"17",2.80044681752458e-06,4.24936027232231e-06,103111,"wm"
"18",2.80044681752458e-06,4.24936027232231e-06,103111,"wm"
"19",4.71054256574458e-06,7.54052253625707e-06,103212,"rest1"
"20",2.80044681752459e-06,4.2493602723223e-06,103212,"rest1"
"21",2.80044681752459e-06,4.24936027232231e-06,103212,"rest2"
"22",2.8004468175246e-06,4.24936027232231e-06,103212,"rest2"
"23",2.80044681752459e-06,4.2493602723223e-06,103212,"emotion"
"24",2.8004468175246e-06,4.24936027232231e-06,103212,"emotion"
"25",2.80044681752459e-06,4.24936027232231e-06,103212,"gambling"
"26",2.80044681752459e-06,4.24936027232231e-06,103212,"gambling"
"27",2.80044681752459e-06,4.24936027232231e-06,103212,"language"
"28",2.80044681752459e-06,4.24936027232231e-06,103212,"language"
"29",2.80044681752458e-06,4.24936027232231e-06,103212,"motor"
"30",2.80044681752459e-06,4.24936027232231e-06,103212,"motor"
"31",2.80044681752459e-06,4.24936027232231e-06,103212,"relational"
"32",2.80044681752459e-06,4.2493602723223e-06,103212,"relational"
"33",3.36248134014847e-06,5.17452300183496e-06,103212,"social"
"34",2.8004468175246e-06,4.24936027232231e-06,103212,"social"
"35",2.8004468175246e-06,4.24936027232231e-06,103212,"wm"
"36",2.8004468175246e-06,4.24936027232231e-06,103212,"wm"
"37",2.8004468175246e-06,4.24936027232231e-06,105620,"rest1"
"38",2.8004468175246e-06,4.24936027232231e-06,105620,"rest1"
"39",4.98370251162825e-06,7.84912979346178e-06,105620,"rest2"
"40",3.57052317768566e-06,5.51451092846926e-06,105620,"rest2"
"41",3.36237348850245e-06,5.17126641310055e-06,105620,"emotion"
"42",3.66668577587533e-06,5.66590436925638e-06,105620,"emotion"
"43",2.80044681752458e-06,4.2493602723223e-06,105620,"gambling"
"44",2.80044681752458e-06,4.2493602723223e-06,105620,"gambling"
"45",2.80044681752458e-06,4.24936027232231e-06,105620,"language"
"46",2.80044681752458e-06,4.24936027232231e-06,105620,"language"
"47",2.80044681752459e-06,4.24936027232231e-06,105620,"motor"
"48",2.80044681752459e-06,4.24936027232231e-06,105620,"motor"
"49",4.6262835647343e-06,7.25775681367884e-06,105620,"relational"
"50",2.80044681752458e-06,4.24936027232231e-06,105620,"relational"
"51",2.80044681752458e-06,4.24936027232231e-06,105620,"social"
"52",3.50438975540639e-06,5.42349465076671e-06,105620,"social"
"53",2.80044681752458e-06,4.24936027232231e-06,105620,"wm"
"54",3.05179972598595e-06,4.65589282547212e-06,105620,"wm"
"55",2.80044681752459e-06,4.24936027232231e-06,106521,"rest1"
"56",2.80044681752459e-06,4.24936027232231e-06,106521,"rest1"
"57",4.3823575805197e-06,6.93042868759318e-06,106521,"rest2"
"58",4.60775719778285e-06,7.30960693989839e-06,106521,"rest2"
"59",2.80044681752459e-06,4.24936027232231e-06,106521,"emotion"
"60",2.80044681752459e-06,4.24936027232231e-06,106521,"emotion"
"61",2.80044681752459e-06,4.24936027232231e-06,106521,"gambling"
