"","V1","V2","Subject","task"
"1",-0.000451008578264396,-0.000142407431327909,103111,"rest1"
"2",-0.000451008578264571,-0.000142407431327976,103111,"rest1"
"3",-0.000451008578264248,-0.000142407431328581,103111,"rest2"
"4",-0.000451008578264407,-0.000142407431327884,103111,"rest2"
"5",0.000640666576222973,0.000389113389531414,103111,"emotion"
"6",-0.000451008578264404,-0.000142407431327977,103111,"emotion"
"7",-0.000451008578264404,-0.000142407431327876,103111,"gambling"
"8",-0.000451008578264404,-0.000142407431327949,103111,"gambling"
"9",-0.000451008578264404,-0.000142407431327928,103111,"language"
"10",0.000584357460377444,0.000425434271657078,103111,"language"
"11",-0.000451008578264404,-0.000142407431327916,103111,"motor"
"12",-0.000451008578264404,-0.000142407431327916,103111,"motor"
"13",-0.000451008578264404,-0.000142407431327916,103111,"relational"
"14",-0.000451008578264404,-0.000142407431327916,103111,"relational"
"15",-0.000451008578264404,-0.000142407431327916,103111,"social"
"16",-0.000451008578264404,-0.000142407431327916,103111,"social"
"17",-0.000451008578264404,-0.000142407431327916,103111,"wm"
"18",-0.000451008578264404,-0.000142407431327916,103111,"wm"
"19",0.00223746657698059,0.000430577495973165,103212,"rest1"
"20",-0.000451008578264403,-0.000142407431327915,103212,"rest1"
"21",-0.000451008578264403,-0.000142407431327915,103212,"rest2"
"22",-0.000451008578264403,-0.000142407431327915,103212,"rest2"
"23",-0.000451008578264403,-0.000142407431327915,103212,"emotion"
"24",-0.000451008578264403,-0.000142407431327915,103212,"emotion"
"25",-0.000451008578264403,-0.000142407431327915,103212,"gambling"
"26",-0.000451008578264403,-0.000142407431327915,103212,"gambling"
"27",-0.000451008578264403,-0.000142407431327915,103212,"language"
"28",-0.000451008578264403,-0.000142407431327915,103212,"language"
"29",-0.000451008578264403,-0.000142407431327915,103212,"motor"
"30",-0.000451008578264403,-0.000142407431327915,103212,"motor"
"31",-0.000451008578264403,-0.000142407431327915,103212,"relational"
"32",-0.000451008578264403,-0.000142407431327915,103212,"relational"
"33",0.00127988610347329,0.000802742068982368,103212,"social"
"34",-0.000451008578264403,-0.000142407431327916,103212,"social"
"35",-0.000451008578264403,-0.000142407431327916,103212,"wm"
"36",-0.000451008578264403,-0.000142407431327916,103212,"wm"
"37",-0.000451008578264403,-0.000142407431327916,105620,"rest1"
"38",-0.000451008578264403,-0.000142407431327916,105620,"rest1"
"39",0.00108271056604585,0.000759516395153605,105620,"rest2"
"40",0.00161567419863654,0.000718128766374047,105620,"rest2"
"41",0.000869774566062156,0.000624501012631477,105620,"emotion"
"42",0.000478085291631039,0.000458528914391622,105620,"emotion"
"43",-0.000451008578264403,-0.000142407431327916,105620,"gambling"
"44",-0.000451008578264403,-0.000142407431327916,105620,"gambling"
"45",-0.000451008578264403,-0.000142407431327916,105620,"language"
"46",-0.000451008578264403,-0.000142407431327916,105620,"language"
"47",-0.000451008578264403,-0.000142407431327916,105620,"motor"
"48",-0.000451008578264403,-0.000142407431327916,105620,"motor"
"49",0.000920639221840576,0.000960978295941444,105620,"relational"
"50",-0.000451008578264403,-0.000142407431327916,105620,"relational"
"51",-0.000451008578264403,-0.000142407431327916,105620,"social"
"52",0.000969591245471917,0.000708666347509595,105620,"social"
"53",-0.000451008578264403,-0.000142407431327916,105620,"wm"
"54",0.000695067211643002,0.000614620264168918,105620,"wm"
"55",-0.000451008578264403,-0.000142407431327916,106521,"rest1"
"56",-0.000451008578264403,-0.000142407431327916,106521,"rest1"
"57",0.0013352566772189,0.000518921418483023,106521,"rest2"
"58",0.00262440954490214,0.00056227921319361,106521,"rest2"
"59",-0.000451008578264405,-0.000142407431327916,106521,"emotion"
"60",-0.000451008578264405,-0.000142407431327916,106521,"emotion"
"61",-0.000451008578264405,-0.000142407431327916,106521,"gambling"
